entidad,latitude,longitude,gasto
Aguascalientes,21.8853,-102.2916,4834005133
Baja California,30.9672,-115.5513,13757682674
Baja California Sur,24.1426,-110.3009,3189301744
Campeche,19.8323,-90.5346,2824246679
Coahuila de Zaragoza,25.4389,-100.9737,9423514693
Colima,19.2122,-103.7256,3034680015
Chiapas,16.7569,-93.1293,11576669657
Chihuahua,28.6322,-106.0697,11079392700
Ciudad de México,19.42847,-99.12766,40666054397
Durango,24.178,-104.8823,5342724931
Guanajuato,21.019,-101.2574,18444076558
Guerrero,17.4399,-99.7102,9074065658
Hidalgo,20.1638,-98.7969,8478008939
Jalisco,20.6597,-103.3496,31472833141
México,19.3132,-98.2404,59262451464
Michoacán de Ocampo,19.703,-101.019,16323107130
Morelos,18.7269,-99.2295,6352627894
Nayarit,21.7645,-104.8455,4736977291
Nuevo León,25.6769,-100.318,20240729294
Oaxaca,17.0732,-95.677,10633418505
Puebla,19.0414,-98.2063,17897822643
Querétaro,20.5888,-100.3899,8756489074
Quintana Roo,21.1743,-87.465,6436945495
San Luis Potosí,22.1567,-100.8307,8155297305
Sinaloa,25.0154,-107.394,10039369841
Sonora,29.072967,-110.955919,9653495296
Tabasco,17.9637,-92.932,6667010484
Tamaulipas,23.5355,-98.1303,10511606163
Tlaxcala,19.3132,-98.2404,3290976995
Veracruz de Ignacio de la Llave,19.1738,-96.1342,21655928919
Yucatán,20.9674,-89.5926,8182468538
Zacatecas,22.7685,-102.5831,4838564451
