id,clee,nom_estab,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,latitud,longitud,fecha_alta
9554380,21114722517012853000059962S2,DOMINO S PIZZA,COLONIA,SAN JOSE CHAPULCO,,,,72590,21,Puebla,18.97476903,-98.21875268,2024-11
6472881,21114722211001903011003286S8,DOMINO S PIZZA 16 DE SEPTIEMBRE,COLONIA,16 DE SEPTIEMBRE,,,,72474,21,Puebla,18.99776736,-98.22434778,2016-01
9414461,21114722516003563000003286S0,DOMINO S PIZZA ADAGIO,COLONIA,LOMAS DE ANGELOPOLIS,,ADAGIO TOWN PLAZA SONATA,SN,72830,21,Puebla,18.99409038,-98.27707278,2024-05
6379904,21019722211000091022003286S4,DOMINO S PIZZA ATLIXCO,COLONIA,CONJUNTO PATRIA,,,,74200,21,Puebla,18.90949708,-98.43512163,2010-07
6792922,21114722211002041001003286S6,DOMINO S PIZZA BLVD. 5 DE MAYO,COLONIA,SAN FRANCISCO,,,,72000,21,Puebla,19.04654455,-98.18969794,2017-03
6716502,21114722211001873001003286S3,DOMINO S PIZZA CENTRAL DE ABASTOS,RANCHO,GUADALUPE,,,,72016,21,Puebla,19.08947233,-98.17669228,2016-01
6794675,21140722212002451011003286S0,DOMINO S PIZZA CHOLULA,COLONIA,LINDA VISTA DE JESUS,,,,72810,21,Puebla,19.05998206,-98.27508295,2017-03
6379474,21140722211000011021003286S6,DOMINO S PIZZA CHOLULA II,COLONIA,CENTRO,,,,72760,21,Puebla,19.06183508,-98.30704503,2010-07
3439352,21114722212032363010003286S6,DOMINO S PIZZA CRUZ DEL SUR,COLONIA,BELLO HORIZONTE,CENTRO Y PLAZA COMERCIAL,CRUZ DEL SUR,G18,72170,21,Puebla,19.07361752,-98.25837689,2010-07
6714910,21114722516000491002003286S7,DOMINO S PIZZA GALERIAS HERMANOS SERDAN,COLONIA,RANCHO POSADAS,,GALERIAS SERDAN,410,72062,21,Puebla,19.07058775,-98.22591227,2016-01
6794206,21114722211001991001003286S3,DOMINO S PIZZA OUTLET PUEBLA,BARRIO,SAN FRANCISCO OCOTLAN,CENTRO Y PLAZA COMERCIAL,OUTLET PUEBLA PREMIER,SN,72680,21,Puebla,19.13073945,-98.26690765,2017-03
6729099,21114722211001863001003286S4,DOMINO S PIZZA PARQUE PUEBLA,CORREDOR INDUSTRIAL,CIENEGA,CENTRO Y PLAZA COMERCIAL,PARQUE PUEBLA,FC-13,72220,21,Puebla,19.07082413,-98.17389629,2016-01
6380111,21114722516000023001003286S8,DOMINO S PIZZA PLAZA CENTRO SUR,COLONIA,SAN FRANCISCO MAYORAZGO,,CENTRO SUR,F5,72470,21,Puebla,18.98801708,-98.24785834,2010-07
9436341,21140722516000283000003286S3,DOMINO S PIZZA PLAZA SAN DIEGO,COLONIA,CHOLULA DE RIVADAVIA,,PLAZA SAN DIEGO,SN,72770,21,Puebla,19.07509231,-98.29479355,2024-05
