id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,correoelec,latitud,longitud,fecha_alta
9398495,01001722516001713000025835S6,LITTLE CAESAR OJO CALIENTE,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,SIGLO XXI,AVENIDA,UNIDAD NACIONAL,CALLE,CONSTITUCIONAL,CALLE,VILLISTA ,5033,,,COLONIA,OJO CALIENTE,,,,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0106,008,CONTABILIDAD@ACFPIZZA.COM,21.9346014,-102.2722265,2024-05
9415045,01001722516001723000025835S5,LITTLE CAESAR SALIDA A ZACATECAS,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,11 a 30 personas,BOULEVARD,ZACATENAS NORTE ,AVENIDA,AVENIDA SIGLO XXI,AVENIDA,AVENIDA DEL ARROYO NORTE ,OTRO(ESPECIFIQUE),NINGUNO,,,LOCALES  2 Y 3,COLONIA,TROJES DE ALONSO,,,,,01,Aguascalientes,001,Aguascalientes,0885,Interpec San Marcos                                                                                           ,1903,800,CONTABILIDAD@ACFPIZZA.COM,21.94101254,-102.2908338,2023-11
6879018,01001722516000393001025835S8,LITTLE CAESARS AMERICAS ,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,LAS AMÉRICAS,CALLE,REPÚBLICA DE GUATEMALA,CALLE,REPÚBLICA DE PARAGUAY,CALLE,REPÚBLICA DE URUGUAY,1404,,,COLONIA,SANTA ELENA,,,,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0939,017,CONTABILIDAD@ACFPIZZA.COM,21.86561519,-102.3030912,2019-04
6865905,01001722516000383000025835S9,LITTLE CAESARS CANTERAS,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,11 a 30 personas,BOULEVARD,JUAN PABLO II,CALLE,PASEO DE SAN AGUSTÍN,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,1165,,,COLONIA,CANTERAS DE SAN AGUSTIN,,,,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,3350,030,CONTABILIDAD@ACFPIZZA.COM,21.86017809,-102.3398012,2019-04
6865904,01001722516000374000025835S8,LITTLE CAESARS CUMBRES,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,SIGLO XXI,CALLE,MANUEL GARCÍA MARTÍNEZ,BOULEVARD,GUADALUPANO,CALLE,CUMBRES,1403,14,,COLONIA,LAS CUMBRES,CENTRO Y PLAZA COMERCIAL,PLAZA CUMBRES,14,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,2367,027,CONTABILIDAD@ACFPIZZA.COM,21.90616061,-102.256371,2019-04
6703663,01001722516000263001025835S3,LITTLE CAESARS INDEPENDENCIA ,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,INDEPENDENCIA,CALLE,FÉLIX DE LA PAZ,CALLE,NORBERTO GÓMEZ HORNEDO,CALLE,ÁLAMO,166,,,COLONIA,EL SOL,,,,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,0464,008,CONTABILIDAD@ACFPIZZA.COM,21.89362286,-102.2953795,2016-01
6189461,01001722517000163011025835S3,LITTLE CAESARS INEGI,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,HÉROE DE NACOZARI SUR,CALLE,MEZCALA,AVENIDA,MONTE ALBÁN,CALLE,PASEO DE SAN MARCOS,2408,3,,COLONIA,RINCONADA DEL PARQUE,,,,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,159A,048,CONTABILIDAD@ACFPIZZA.COM,21.85484629,-102.2821404,2010-07
6865784,01001722516000353000025835S2,LITTLE CAESARS PIZZA CAMPESTRE,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,11 a 30 personas,BOULEVARD,MANUEL J. CLOUTHIER DEL RINCÓN,CALLE,Misión de Santo Tomás,CALLE,Misión de Santiago,CALZADA,Calzada de la Misión,2592,,,COLONIA,MISION DEL CAMPANARIO,,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,8,20118,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,1299,032,CONTABILIDAD@ACFPIZZA.COM.MX,21.93287737,-102.3220786,2019-04
6882769,01001722516000403001025835S5,LITTLE CAESARS PIZZA SANTA ANITA,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,CONVENCIÓN DE 1914 ORIENTE,CALLE,Guiseppe Verdi,CALLE,Florencia,CALLE,Franz Peter Schubert,514,,,COLONIA,SANTA ANITA,,,,20169,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,2282,034,CONTABILIDAD@ACFPIZZAS.COM,21.89411536,-102.2771137,2019-04
6422303,01001722517003131011025835S7,LITTLE CAESARS PULGAS PANDAS ,ACF PIZZA SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,AGUASCALIENTES NORTE,PROLONGACION,GENERAL IGNACIO ZARAGOZA,CALLE,VALLE DE GUADALUPE,PRIVADA,VILLA BEGOÑAS,519,,,FRACCIONAMIENTO,FATIMA,,,,,01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,2259,017,CONTABILIDAD@ACFPIZZA.COM,21.91576011,-102.3044058,2014-12
